start_date,distance,weekday,month,date,week
2020-05-25,0,Mon,May,146,22
2020-05-26,7.5,Tue,May,147,22
2020-05-27,5,Wed,May,148,22
2020-05-28,10,Thu,May,149,22
2020-05-29,0,Fri,May,150,22
2020-05-30,0,Sat,May,151,22
2020-05-31,10,Sun,May,152,23
2020-06-01,5.5,Mon,Jun,153,23
2020-06-02,6,Tue,Jun,154,23
2020-06-03,0,Wed,Jun,155,23
2020-06-04,10.5,Thu,Jun,156,23
2020-06-05,0,Fri,Jun,157,23
2020-06-06,12.5,Sat,Jun,158,23
2020-06-07,0,Sun,Jun,159,24
2020-06-08,7,Mon,Jun,160,24
2020-06-09,11,Tue,Jun,161,24
2020-06-10,0,Wed,Jun,162,24
2020-06-11,5.5,Thu,Jun,163,24
2020-06-12,0,Fri,Jun,164,24
2020-06-13,12.5,Sat,Jun,165,24
2020-06-14,0,Sun,Jun,166,25
2020-06-15,0,Mon,Jun,167,25
2020-06-16,11,Tue,Jun,168,25
2020-06-17,5.5,Wed,Jun,169,25
2020-06-18,12.5,Thu,Jun,170,25
2020-06-19,0,Fri,Jun,171,25
2020-06-20,0,Sat,Jun,172,25
2020-06-21,11,Sun,Jun,173,26
2020-06-22,0,Mon,Jun,174,26
2020-06-23,12.5,Tue,Jun,175,26
2020-06-24,0,Wed,Jun,176,26
2020-06-25,12,Thu,Jun,177,26
2020-06-26,0,Fri,Jun,178,26
2020-06-27,17,Sat,Jun,179,26
2020-06-28,0,Sun,Jun,180,27
2020-06-29,0,Mon,Jun,181,27
2020-06-30,10,Tue,Jun,182,27
2020-07-01,0,Wed,Jul,183,27
2020-07-02,0,Thu,Jul,184,27
2020-07-03,10.4,Fri,Jul,185,27
2020-07-04,0,Sat,Jul,186,27
2020-07-05,0,Sun,Jul,187,28
2020-07-06,0,Mon,Jul,188,28
2020-07-07,12.5,Tue,Jul,189,28
2020-07-08,0,Wed,Jul,190,28
2020-07-09,12,Thu,Jul,191,28
2020-07-10,0,Fri,Jul,192,28
2020-07-11,10,Sat,Jul,193,28
2020-07-12,0,Sun,Jul,194,29
2020-07-13,7.5,Mon,Jul,195,29
2020-07-14,11,Tue,Jul,196,29
2020-07-15,0,Wed,Jul,197,29
2020-07-16,12,Thu,Jul,198,29
2020-07-17,0,Fri,Jul,199,29
2020-07-18,0,Sat,Jul,200,29
2020-07-19,18.1,Sun,Jul,201,30
2020-07-20,0,Mon,Jul,202,30
2020-07-21,0,Tue,Jul,203,30
2020-07-22,0,Wed,Jul,204,30
2020-07-23,0,Thu,Jul,205,30
2020-07-24,0,Fri,Jul,206,30
2020-07-25,0,Sat,Jul,207,30
2020-07-26,0,Sun,Jul,208,31
2020-07-27,0,Mon,Jul,209,31
2020-07-28,0,Tue,Jul,210,31
2020-07-29,0,Wed,Jul,211,31
2020-07-30,0,Thu,Jul,212,31
2020-07-31,0,Fri,Jul,213,31
2020-08-01,0,Sat,Aug,214,31
2020-08-02,0,Sun,Aug,215,32
2020-08-03,0,Mon,Aug,216,32
2020-08-04,0,Tue,Aug,217,32
2020-08-05,0,Wed,Aug,218,32
2020-08-06,0,Thu,Aug,219,32
2020-08-07,0,Fri,Aug,220,32
2020-08-08,0,Sat,Aug,221,32
2020-08-09,0,Sun,Aug,222,33
2020-08-10,0,Mon,Aug,223,33
2020-08-11,0,Tue,Aug,224,33
2020-08-12,0,Wed,Aug,225,33
2020-08-13,0,Thu,Aug,226,33
2020-08-14,0,Fri,Aug,227,33
2020-08-15,0,Sat,Aug,228,33
2020-08-16,0,Sun,Aug,229,34
2020-08-17,0,Mon,Aug,230,34
2020-08-18,0,Tue,Aug,231,34
2020-08-19,0,Wed,Aug,232,34
2020-08-20,0,Thu,Aug,233,34
2020-08-21,0,Fri,Aug,234,34
2020-08-22,0,Sat,Aug,235,34
2020-08-23,0,Sun,Aug,236,35
2020-08-24,0,Mon,Aug,237,35
2020-08-25,0,Tue,Aug,238,35
2020-08-26,0,Wed,Aug,239,35
2020-08-27,0,Thu,Aug,240,35
2020-08-28,0,Fri,Aug,241,35
2020-08-29,0,Sat,Aug,242,35
2020-08-30,0,Sun,Aug,243,36
2020-08-31,0,Mon,Aug,244,36
2020-09-01,0,Tue,Sep,245,36
2020-09-02,0,Wed,Sep,246,36
2020-09-03,0,Thu,Sep,247,36
2020-09-04,0,Fri,Sep,248,36
2020-09-05,0,Sat,Sep,249,36
2020-09-06,0,Sun,Sep,250,37
